Expression,Contexte gauche,Contexte droit,Phrase
game, the ,s of ," (I was truly torn in the quarterfinals)Do you create to watch all the games of the team you loveThe guy was hailed to be the next Kaka, was bought by Atletico for 100+ mil dollars"
game,e of ,", abi","

But who is overall a better midfielder and player out of the duo?
Taking into account statistics, influence of game, abilities and tropies etc"
game,full ,s in ," Since I started watching after the World Cup I've been trying to keep up with as many as I can, but I've really only watched full games in the French league"
game,lose ,s it , At least past the 80th minute where in close games it really matters
game, the ,play , Somewhere I'm left with the feeling that the gameplay isn't as great as it once was
game, the , to w,"

In the Spanish Super Cup at the start of the season, Dembele scored an absolute screamer late in the game to win Barcelona the trophy"
game,sive , wher, Dembele stepped up in a massive game where Messi failed to create anything
game, his , like,"

If Dembele can continue to string together another year or two of staying injury-free and performing at the top of his game like he's been able to in the past year, he could end up being a truly successful signing for the club"
game, the ,s," That didn't weigh him down, he still trained, and was always motivated to play)

And same thing happened with Portugal at the WC (kinda)- The coach thought he was a good ""tactical"" decision to not start with him in some of the games"
game,few  ,"s, an","

WA  of Australia (with Perth Stadium) or even SA (Adelaide Oval) alongside  with maybe 3-4 grounds in singa/indo/malay (maybe the new Jakarta  stadium that is being built at the moment, Surabaya can be another host,  Singapore national stadium can be expanded to fit 40-50k and KL have a  massive stadium in its own right or rather than Surabaya hosting a few  games, another malay city can host a few games instead) region can host  several groups (lets say group A, B, C or whatever), since those regions  are like 3-4 hours away between each other"
game, few ,s),"

The  rest of the east cost and NZ (lets say MCG, Stadium Australia, Suncorp,  SFS, Eden Park, Westpac Stadium and maybe a few other regional cities  in the east cost/NZ such as Geelong/Newcastle/Gold Coast/Dunedin can  host a few games)"
game,s to ,s and,"

For  visa issues, use Australia as the standard, then if they have an aussie  visa (show tickets to games and reasonable funds or hotel booking as  standard), they can go to NZ/malay/indo or singa for 30-60 days no  issues during the world cup without having to apply for another visa"
game, the , (to ,"

Its  will require complex negotiations between countries and a bit more time  in the later stages of the game (to allow for travel) and a Oct/Nov or  Dec hosting period"
game,hese ,,"

Also  I like to see how lets say north/south/east or west of euro can pull  off a similar idea to mines or even indopacfic or east Asia or  north/south Africa or maybe how multiple countries in South America can  work? Also explain what cities and stadiums should host these game"
game,roup ,s but,  Don't have to go into full details with group games but at least give  stadiums which should host quarter/semis/finals and third place
game, the ,", but"," So the principle does not advocate for a fundamental change in the game, but rather a shift in concesion: radically, it's the defence's fault first (that's the root) and the goalkeeper can either save it or not, but regardless that scoring oportunity was made because of the defence's failure"
game,ring ,play ," It's same as believing that during gameplay an additional ball would be thrown into the pitch, and nobody would notice it and not know which ball was real and which not and the gameplay would continue for some time with two  balls before anyone noticing"
game,ball ,s,The transfer of football players is an important part in football games
game, the , of f,"As the most popular sport around the globe, the game of football has recently
intrigued much research interest to explore and distill useful and appealing
information from the sport"
game,ball , reco," Football game records
within a time window of over a century were collected and expressed in a graph
format, where participant teams are represented by graph nodes and the games
between them are the graph edges"
game, the , rece," Our analysis suggests that the evolution of the game receives
considerable impact not only from major sport events, but also from multiple
social and political incidents"
game, The , of f," The game of football and its evolution reflect
significant historical transitions and turning points, and can provide a novel
perspective for the study of the worldwide globalization process"
game,ideo , FIFA,"We designed a multilayer perceptron neural network to predict the price of a
football (soccer) player using data on more than 15,000 players from the
football simulation video game FIFA 2017"
game,ball ,s of ," We built a set of predictive models
for the outcome of football games of the English Premier League for a 3 month
period based on tweets and we studied whether these models can overcome
predictive models which use only historical data and simple football
statistics"
game,ting ,s in ," The final results indicate that data mined from Twitter can
indeed be a useful source for predicting games in the Premier League"
game,ideo ,"s, wh","Recent progress in the field of reinforcement learning has been accelerated
by virtual learning environments such as video games, where novel algorithms
and ideas can be quickly tested in a safe and reproducible manner"
game,full-, scen,"
We propose three full-game scenarios of varying difficulty with the Football
Benchmarks and report baseline results for three commonly used reinforcement
algorithms (IMPALA, PPO, and Ape-X DQN)"
game, the ,," However, these measures fail to capture the
finer nuances of the game"
game, the ,"
of f","In this paper, we study collective interaction dynamics emerging in the game
of football-soccer"
game,"port
",", sea"," Our goal is to characterize
statistically the temporal sequence of ball movements in this collective sport
game, searching for traits of complex behavior"
game,"m
in-", win ," [9, 10] establish Bayesian methods for estimating home-team
in-game win probability for college and NBA basketball"
game,g in-, home," This paper introduces a
Bayesian approach for estimating in-game home-team win probability for
Division-I FBS college (American) football that uses expected number of
remaining possessions and expected score as two predictors"
game,f in-,"
home"," These, along with other predictors
are introduced into two Bayesian approaches for the final estimate of in-game
home-team win probability"
game,ship , betw," To illustrate utility, methods are applied to the
2021 Big XII Conference Football Championship game between Baylor and Oklahoma
State"
game,s of , outc,"Unlike other major professional sports, American football lacks comprehensive
statistical ratings for player evaluation that are both reproducible and easily
interpretable in terms of game outcomes"
game,s of , outc,"Continuous-time assessments of game outcomes in sports have become
increasingly common in the last decade"
game, and , situ," While
measures such as expected points and win probability are useful for evaluating
football plays and game situations, there has been no research into how these
values change throughout the course of a play"
game,ball ,s att,American football games attract significant worldwide attention every year
game," the
",s by ,"
Game analysis systems generate crucial information that can help analyze the
games by providing fans and coaches with a convenient means to track and
evaluate player performance"
game,ball , vide,"
Processing football game video presents challenges such as crowded setting,
distorted objects, and imbalanced data for identifying players, especially
jersey numbers"
game,th a , cloc," Second, we identify players using jersey
number recognition with a secondary convolutional neural network, then
synchronize it with a game clock subsystem"
game,d by ,s," These regularities refer to goal
distributions by goal-players and by games"
game,ball , usin,"In this paper, we present betting strategy of a football game using
probability theory"
game,y of , data," The dataset
consists only of game data from the last six NFL seasons"
game,ckey ,s,"We use a simple machine learning model, logistically-weighted regularized
linear least squares regression, in order to predict baseball, basketball,
football, and hockey games"
game, the ,"s, wh"," These
findings tells us that in basketball, most statistics are subsumed by the
scores of the games, whereas in football, further study of game and player
statistics is necessary to predict games as well as can be done"
game,ball ,s acr," To examine this phenomenon, we
assemble FOOTBALL, which contains 1,455 broadcast transcripts from American
football games across six decades that are automatically annotated with 250K
player mentions and linked with racial metadata"
game, per ,) to ," points scored per game) to metrics that adjust for a team's
strength of schedule, but one aspect that hasn't been emphasized is the
complementary nature of American football"
game,thin-, dyna," We touch on the issues arising due
to reverse-causal nature of certain within-game dynamics, discussing several
potential remedies"
game,"tly, ", outc," Lastly, game outcome prediction performances are compared
across several ranking adjustment approaches for method validation purposes"
game, the , of f," Interesting, across
nearly every variable that is significant to the game of football and the
budget, these top teams display diversity across these variables"
game, the , is r,"Analyzing football score data with statistical techniques, we investigate how
the not purely random, but highly co-operative nature of the game is reflected
in averaged properties such as the probability distributions of scored goals
for the home and away teams"
